Sentences,True_Labels,Predicted_Labels,Probabilty_Score_Class0,Probabilty_Score_Class1,Probabilty_Score_Class2,Probabilty_Score_Class3,Speculative_Words
"For example , we may use cookies to store your language preferences or other Pinterest settings so you dont have to set them up every time you visit Pinterest .",1,1,0.030718453228473663,0.963879406452179,0.0047447895631194115,0.0006572299171239138,"""other pininterest settings"": 1,     ""example. may"": 1,     ""store your language"": 1,     ""we may"": 1,     ""other pinterest settings"": 1     "
"For example , if you 've indicated that you 're interested in cooking or visited recipe websites that has Pinterest features , we may suggest food-related pins , boards , or people that we think you might like ;",0,1,0.03626472130417824,0.9537932872772217,0.008485999889671803,0.0014560045674443245,"""features"": 1,     ""indicated"": 1,     ""may"": 1,     ""might like"": 1,     ""may suggest"": 1,     ""might"": 1,     ""think"": 1     "
"Send you updates ( such as when certain activity , like repins or comments , happens on Pinterest ) , newsletters , marketing materials and other information that may be of interest to you .",1,1,0.017911512404680252,0.9585580825805664,0.021429656073451042,0.0021007934119552374,"""may be"": 1,     ""may"": 2,     ""certain"": 1,     ""send you updates"": 1,     ""other"": 1,     ""updates"": 1,     ""such as"": 1,     ""other information"": 2     "
"We may use or store information wherever Pinterest does business , including countries outside your own .",1,1,0.004627387039363384,0.9782031178474426,0.01539247203618288,0.0017771113198250532,""""": 1,     ""information"": 2,     ""may use"": 1,     ""may"": 4,     ""wherever"": 1,     ""whenever"": 1,     ""outside"": 1,     ""including"": 1,     ""does business"": 1,     ""store"": 1     "
"In addition to the examples above , we offer other choices that you can learn more about in our Help Center .",0,1,0.2524805963039398,0.7274581789970398,0.01947668381035328,0.0005845379200764,"""other choices"": 1,     ""other"": 1,     ""other  choices"": 1,     ""learn"": 1     "
We may employ third party companies or individuals to process personal information on our behalf based on our instructions and in compliance with this Privacy Policy .,1,1,0.031087709590792656,0.814275860786438,0.14724884927272797,0.007387612015008926,"""process"": 2,     ""compliance"": 2,     ""companies"": 1,     ""we may"": 1,     ""privacy policy"": 1,     ""may"": 1,     ""individuals"": 1,     ""third party"": 1,     ""third party companies"": 1,     ""personal information"": 3,     ""instructions"": 1     "
"If we believe that disclosure is reasonably necessary to comply with a law , regulation or legal request ; to protect the safety , rights , or property of the public , any person , or Pinterest ; or to detect , prevent , or otherwise address fraud , security or technical issues .",1,1,0.338304340839386,0.5975171327590942,0.0592636838555336,0.004914791323244572,"""reasonably necessary"": 1,     ""reasonably"": 2,     ""technical issues"": 1     "
We may also share aggregated or non-personally identifiable information with our partners or others .,1,2,0.04964792728424072,0.2558261454105377,0.6661980748176575,0.02832789160311222,"""our partners or others"": 1,     ""non-personally identifiable"": 1,     ""may"": 1,     ""we may"": 1,     ""identifiable information"": 1,     ""others"": 1,     ""aggregated"": 2     "
"If the changes are significant , we may provide more prominent notice or obtain your consent as required by law .",2,1,0.09905283153057098,0.8367404937744141,0.058054402470588684,0.006152318790555,"""changes are significant"": 1,     ""more prominent"": 1,     ""may"": 2,     ""significant"": 3,     ""prominent"": 1,     ""more"": 1     "
"Personal information may include your name , email , mailing and/or business address , phone numbers , or other information that identifies you personally .",0,1,0.12173303216695786,0.6678685545921326,0.2063046544790268,0.00409370381385088,""""": 1,     ""phonenumbers"": 1,     ""business"": 1,     ""may"": 1,     ""address"": 1,     ""buisness address"": 1,     ""personally"": 1,     ""identifies"": 1,     ""personal information"": 1     "
"We thus may know what path ( s ) you took on usps.com , but we do n't know who you are .",1,1,0.03231089562177658,0.8128679394721985,0.15101490914821625,0.0038062473759055138,""""": 1,     ""path(s)"": 1,     ""may"": 1,     ""thus"": 1,     ""don`t"": 1,     ""what path ( s )"": 1,     ""path ( s )"": 1,     ""usps.com"": 1,     ""path"": 1,     ""know"": 1     "
We also use the information to tell us of any possible site performance problems .,0,0,0.5866963267326355,0.3773239254951477,0.03483298048377037,0.0011467554140836,"""we"": 1,     ""the information"": 1,     ""of"": 1,     ""use"": 1,     ""us"": 1,     ""possible"": 1,     ""site performance problems"": 1,     ""also"": 1,     ""any"": 1     "
Read the Postmaster General 's letter on Cookie Usage .,0,0,0.8899198770523071,0.10717739909887314,0.0018499904545024037,0.0010527163976803422,"""usage"": 1,     ""read"": 1,     ""generally"": 1,     ""personal information"": 1,     ""actually"": 1     "
"Service providers may only use persistent cookies and beacons if specifically approved by the USPS , which uses must comply fully with this policy .",2,1,0.35173845291137695,0.5231419205665588,0.1227215901017189,0.0023980617988854647,"""persistent cookies"": 2,     ""may"": 2,     ""persistent"": 1,     ""specifically"": 1,     ""beacons"": 1,     ""service providers"": 1,     ""specifically approved"": 1     "
